TailNumber,Origin,Destination,TravelDate,TravelTime,SeatPrice,Capacity,AircraftName,FirstName,LastName,DOB
T3231,DEN,DTW,2019-12-17,10,427.52,225,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,ATL,FLL,2019-12-14,8,240.34,211,Airbus-A330,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,JFK,BOS,2019-07-16,2,352.86,211,Airbus-A330,Robert,Greene,MTk5MS0xMS0wOQ==
D2204,LAS,CLT,2020-04-24,8,104.64,23,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2858,LAX,IAH,2020-03-05,10,424.46,89,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
V2774,ATL,IAH,2019-07-25,8,309.55,142,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
V2774,DFW,PHL,2019-08-15,1,268.78,142,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
V2774,LAX,MIA,2020-02-24,9,436.74,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAX,MSP,2020-01-21,10,495.4,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
D3204,LAS,MSP,2019-07-20,8,384.53,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,DEN,PHX,2019-12-30,7,291.47,211,Airbus-A330,Robert,Greene,MTk5MS0xMS0wOQ==
N2355,JFK,IAH,2020-03-18,6,94.81,67,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
O2806,MCO,MSP,2019-08-31,7,74.09,133,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,SFO,DTW,2019-09-20,3,162.21,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
N2413,ATL,PHX,2019-11-02,2,383.6,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
V3243,LAX,EWR,2020-04-13,4,136.3,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,ORD,MIA,2020-01-02,5,136.83,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
X2978,ORD,PHX,2019-08-06,4,147.85,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
Q2705,SEA,EWR,2019-05-24,8,149.87,125,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
V3243,LAS,CLT,2019-07-16,2,341.64,114,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
N2413,DFW,BOS,2020-03-15,7,228.25,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,ORD,IAH,2019-12-23,4,450.49,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
T3231,JFK,IAH,2019-06-07,2,460.17,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,SEA,EWR,2019-06-22,3,238.67,225,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,LAX,CLT,2020-01-12,8,458.16,62,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,MCO,PHL,2019-08-15,9,231.97,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
V2774,MCO,MSP,2020-01-22,8,166.17,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,LAX,IAH,2020-03-02,9,165.22,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
